Id,parentId,Workload,Server,Category,Type,Application name(s),Environment,Migration Intent,Operating System,Dependencies,Softwares(#),Support status,Security risks,Discovery method,Hypervisor type,Host,Tags,DB instances(#),Databases(#),Webapps(#),Fileshares(#),vCores(#),Memory (MB),Disks(#),Allocated storage (GB),OS Family,Support ends in (Days),Power status,Connected appliance,First discovered at,Last updated at,Processor,Database edition,Framework version,Protocol,DB engine status,HADR configuration,IPv6/IPv4,App ARM ID name(s)
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0298-4000-a001-000000000298","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0298-4000-a001-000000000298","vm-dev-devops-shared-artifa-01","vm-dev-devops-shared-artifa-01","Server","Linux server","-","-","-","Ubuntu","-","-","-","-","Import","VMware","-","{}","-","-","-","-","4","12288","1","-","linuxguest","-"," -"," -","2026-04-08T15:34:55.142963Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0299-4000-a001-000000000299","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0299-4000-a001-000000000299","vm-dev-devops-shared-artifa-02","vm-dev-devops-shared-artifa-02","Server","Linux server","-","-","-","Ubuntu","-","-","-","-","Import","VMware","-","{}","-","-","-","-","4","12288","1","-","linuxguest","-"," -"," -","2026-04-08T15:34:55.142963Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0296-4000-a001-000000000296","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0296-4000-a001-000000000296","vm-dev-devops-shared-ci-01","vm-dev-devops-shared-ci-01","Server","Linux server","-","-","-","CentOS 7","-","-","-","-","Import","VMware","-","{}","-","-","-","-","4","8192","1","-","linuxguest","-"," -"," -","2026-04-08T15:34:55.142963Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0297-4000-a001-000000000297","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0297-4000-a001-000000000297","vm-dev-devops-shared-ci-02","vm-dev-devops-shared-ci-02","Server","Linux server","-","-","-","CentOS 7","-","-","-","-","Import","VMware","-","{}","-","-","-","-","4","8192","1","-","linuxguest","-"," -"," -","2026-04-08T15:34:55.142963Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0276-4000-a001-000000000276","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0276-4000-a001-000000000276","vm-prod-call-center-app-01","vm-prod-call-center-app-01","Server","Windows server","-","-","-","Windows Server 2022","-","-","-","-","Import","VMware","-","{}","-","-","-","-","6","16384","1","-","windowsguest","-"," -"," -","2026-04-08T15:34:55.1273519Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0277-4000-a001-000000000277","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0277-4000-a001-000000000277","vm-prod-call-center-app-02","vm-prod-call-center-app-02","Server","Windows server","-","-","-","Windows Server 2022","-","-","-","-","Import","VMware","-","{}","-","-","-","-","6","18432","1","-","windowsguest","-"," -"," -","2026-04-08T15:34:55.1273519Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0278-4000-a001-000000000278","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0278-4000-a001-000000000278","vm-prod-call-center-app-03","vm-prod-call-center-app-03","Server","Windows server","-","-","-","Windows Server 2022","-","-","-","-","Import","VMware","-","{}","-","-","-","-","6","16384","1","-","windowsguest","-"," -"," -","2026-04-08T15:34:55.1273519Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0279-4000-a001-000000000279","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0279-4000-a001-000000000279","vm-prod-call-center-app-04","vm-prod-call-center-app-04","Server","Windows server","-","-","-","Windows Server 2022","-","-","-","-","Import","VMware","-","{}","-","-","-","-","6","18432","1","-","windowsguest","-"," -"," -","2026-04-08T15:34:55.1273519Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0280-4000-a001-000000000280","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0280-4000-a001-000000000280","vm-prod-call-center-db-01","vm-prod-call-center-db-01","Server","Windows server","-","-","-","Windows Server 2022","-","-","-","-","Import","VMware","-","{}","-","-","-","-","8","32768","1","-","windowsguest","-"," -"," -","2026-04-08T15:34:55.1273519Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
"/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0281-4000-a001-000000000281","/subscriptions/ed38b697-42b8-4490-b79a-ce682d991625/resourcegroups/rgazmigrat-8/providers/microsoft.offazure/importsites/vmwaremigration5a66importsite/machines/5201b9cc-0281-4000-a001-000000000281","vm-prod-call-center-db-02","vm-prod-call-center-db-02","Server","Windows server","-","-","-","Windows Server 2019","-","-","-","-","Import","VMware","-","{}","-","-","-","-","8","32768","1","-","windowsguest","-"," -"," -","2026-04-08T15:34:55.1273519Z","2026-04-08T15:34:56.3159497Z","-"," -"," -","-","-","-","[]","-"
